"농림수산직",81.3,18.7,79.2,20.8,199,312.6,159,253,70.2,20.6,79.4,374.9,652.8,209,605,187.1
"기능원기계조작원",40.7,59.3,45.4,54.6,218,266.7,207,330,67.9,57.6,42.4,202.7,257.6,230.2,295.3,92.9
"단순노무직",62.3,37.7,65.7,34.3,215,264.9,165,348,83.7,32.4,67.6,264.9,464.9,204.9,429.4,148.4
"가정주부",45.7,54.3,53.5,46.5,207,243.9,212,300,73.2,28.3,71.7,243.8,350,248.5,334.3,81.7
"기타",64,36,55.8,44.2,201,296.2,202,231,75.3,16.3,83.7,198.2,299.4,179.4,404.7,100.9
"15~19세",-,-,6,94,168,209.1,214,190,60.6,6.2,93.8,100,100,-,-,-
"20~29세",-,-,60.8,39.2,237,414.3,172,252,107.7,7.2,92.8,96.6,155.3,96.2,-,85.6
"30세미만",52.2,47.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"30~39세",30.4,69.6,36.4,63.6,143,141.7,194,194,43.6,56.2,43.8,135.2,100.2,182.3,60.9,63.6
"40~49세",19.7,80.3,20.5,79.5,199,242.7,223,260,71.5,79.1,20.9,221.5,239.5,284.6,266.8,97.2
"50~59세",64.6,35.4,63.6,36.4,297,442.5,239,367,140.1,42.3,57.7,343.4,505.9,229.3,398.6,202
"60세이상",92.4,7.6,88.7,11.3,269,430.1,218,359,69.5,5,95,229.9,522.3,248.9,637.5,153.4
"65세이상",-,-,92.8,7.2,193,264.6,169,292,45.4,4.1,95.9,162.2,300.9,147.6,308.6,84
"가구주",65.7,34.3,65,35,233,294.4,214,344,79.7,44.8,55.2,234.8,314.5,247.9,347,116.7
"배우자",41,59,43.8,56.2,207,263.9,215,276,74,-,-,-,-,-,-,-
"가구원",53.4,46.6,51.6,48.4,201,296.2,194,239,76.1,-,-,-,-,-,-,-
